transaction_id,account_holder_name,account_number,amount_inr,transaction_time
FIU-TXN-2024-000001,Karim Lala,ICIC-0911440019,5860122,2026-02-22 11:15:00
FIU-TXN-2024-000002,Tariq Memon,SBIN-9911228833,4536366,2025-10-29 11:12:00
FIU-TXN-2024-000003,Rehan Belgaum,HDFC-0000000003,2809121,2025-11-11 15:29:00
FIU-TXN-2024-000004,Mohd. Aslam,HDFC-0044102981,10301791,2026-08-28 14:27:00
FIU-TXN-2024-000005,Karim Lala,ICIC-0911440019,10936271,2026-04-08 17:41:00
FIU-TXN-2024-000006,Tariq Memon,SBIN-9911228833,18653178,2025-11-14 16:10:00
FIU-TXN-2024-000007,Rehan Belgaum,HDFC-0000000007,19333015,2026-01-16 19:48:00
FIU-TXN-2024-000008,Mohd. Aslam,HDFC-0044102981,17685776,2026-07-26 14:30:00
FIU-TXN-2024-000009,Karim Lala,ICIC-0911440019,3616982,2025-12-20 16:27:00
FIU-TXN-2024-000010,Tariq Memon,SBIN-9911228833,7454757,2026-06-25 12:10:00
FIU-TXN-2024-000011,Rehan Belgaum,HDFC-0000000011,6153048,2026-05-10 16:43:00
FIU-TXN-2024-000012,Mohd. Aslam,HDFC-0044102981,7591221,2026-04-12 10:58:00
FIU-TXN-2024-000013,Karim Lala,ICIC-0911440019,12444422,2026-07-12 13:22:00
FIU-TXN-2024-000014,Tariq Memon,SBIN-9911228833,4063261,2026-03-29 10:25:00
FIU-TXN-2024-000015,Rehan Belgaum,HDFC-0000000015,18557049,2026-01-21 15:15:00
FIU-TXN-2024-000016,Mohd. Aslam,HDFC-0044102981,19966250,2025-10-16 14:16:00
FIU-TXN-2024-000017,Karim Lala,ICIC-0911440019,9132841,2026-05-18 13:17:00
FIU-TXN-2024-000018,Tariq Memon,SBIN-9911228833,12244303,2026-06-17 17:19:00
FIU-TXN-2024-000019,Rehan Belgaum,HDFC-0000000019,19201114,2026-07-15 16:17:00
FIU-TXN-2024-000020,Mohd. Aslam,HDFC-0044102981,7548638,2026-03-25 15:27:00
FIU-TXN-2024-000021,Karim Lala,ICIC-0911440019,9944858,2025-11-17 10:37:00
FIU-TXN-2024-000022,Tariq Memon,SBIN-9911228833,11601127,2026-03-16 19:54:00
FIU-TXN-2024-000023,Rehan Belgaum,HDFC-0000000023,7469090,2026-08-05 16:36:00
FIU-TXN-2024-000024,Mohd. Aslam,HDFC-0044102981,19207716,2025-12-20 11:49:00
FIU-TXN-2024-000025,Karim Lala,ICIC-0911440019,5120296,2025-10-09 15:31:00
FIU-TXN-2024-000026,Tariq Memon,SBIN-9911228833,7810677,2025-12-10 16:25:00
