crime_no,suspect_full_name,alias_or_nickname,phone,rto_vehicle_number,fir_brief
KA-2023-SHV-0412,Aslam Bhai,,+91-9876543210,KA-01-MJ-9912,"Hawala & Unexplained High Value Transfers | 120B, 420 IPC | Shivajinagar PS"
KA-2023-BEL-0188,Suresh Shetty,,+91-9845012390,MH-12-DE-1001,"Inter-State Smuggling & Transit Logistics | 120B, 379 IPC | Market PS"
KA-2023-BLR-0651,Iqbal Painter,,+91-9811223344,KA-03-TR-5510,"Document Forgery & Fake Vehicle Registration | 468, 471, 420 IPC | Commercial Street PS"
KA-2024-COT-0081,Farhan Sheikh,,+91-9988771122,KA-05-AB-7711,"Hawala Cash Distribution & Courier Syndicate | 120B, 420 IPC | Cottonpet PS"
KA-2023-BAN-0005,Farhan Jadhav,,+91-9941964543,KA-34-BC-6632,"Hawala & Money Laundering | 420, 120B IPC | Commercial Street PS"
KA-2023-BAN-0006,Ajay Qureshi,,+91-9367873712,KA-14-EF-8059,"Extortion & Robbery | 384, 392 IPC | Shivajinagar PS"
KA-2023-BAN-0007,Vijay Shetty,,+91-9844277869,KA-28-AB-4143,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Shivajinagar PS"
KA-2023-BEL-0008,Anil Chavan,,+91-7035961846,KA-09-LM-7160,"Hawala & Money Laundering | 420, 120B IPC | Khade Bazar PS"
KA-2023-HUB-0009,Irfan Deshmukh,,+91-7796416373,KA-10-JK-7587,"Hawala & Money Laundering | 420, 120B IPC | Sub-Urban PS"
KA-2023-BEL-0010,Ramesh Reddy,,+91-9743129222,KA-23-BC-2868,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Khade Bazar PS"
KA-2023-MYS-0011,Dinesh Siddiqui,,+91-8891690271,KA-34-EF-2244,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Lashkar PS"
KA-2023-BAN-0012,Imran Pawar,,+91-7727192989,KA-43-GH-5174,"Hawala & Money Laundering | 420, 120B IPC | Cottonpet PS"
KA-2023-MYS-0013,Sachin Khan,,+91-7079708950,KA-01-CD-9980,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Lashkar PS"
KA-2023-BAN-0014,Nasir Qureshi,,+91-9781325101,KA-14-JK-1343,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Shivajinagar PS"
KA-2023-HUB-0015,Prakash Jadhav,,+91-9915971765,KA-25-EF-3619,"Hawala & Money Laundering | 420, 120B IPC | Sub-Urban PS"
KA-2023-BAN-0016,Ajay Rao,,+91-8761015616,KA-22-GH-2943,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Shivajinagar PS"
KA-2023-HUB-0017,Farhan Pawar,,+91-8729510899,KA-04-AB-7527,"Hawala & Money Laundering | 420, 120B IPC | Sub-Urban PS"
KA-2023-BAN-0018,Arjun Rao,,+91-8889350110,KA-16-EF-3603,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Cottonpet PS"
KA-2023-BAN-0019,Santosh Rao,,+91-7711373781,KA-43-DE-8265,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Shivajinagar PS"
KA-2023-KAL-0020,Rajesh Naik,,+91-8752102333,KA-26-DE-5156,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Kalaburagi City PS"
KA-2023-MYS-0021,Anil Shetty,,+91-9820640078,KA-47-EF-6494,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Devaraja PS"
KA-2023-BAN-0022,Ganesh Shaikh,,+91-9955283136,KA-35-LM-4409,"Extortion & Robbery | 384, 392 IPC | Commercial Street PS"
KA-2023-MAN-0023,Imran Sayed,,+91-7763009778,KA-07-BC-1715,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Bunder PS"
KA-2023-HUB-0024,Mahesh Siddiqui,,+91-8729860310,KA-05-DE-2811,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Sub-Urban PS"
KA-2023-HUB-0025,Sunil Deshmukh,,+91-9747656449,KA-23-CD-5595,"Extortion & Robbery | 384, 392 IPC | Sub-Urban PS"
KA-2023-MYS-0026,Mahesh Khan,,+91-9358350421,KA-17-EF-1124,"Extortion & Robbery | 384, 392 IPC | Devaraja PS"
KA-2023-MYS-0027,Salim Kamath,,+91-7716115410,KA-16-AB-2301,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Devaraja PS"
KA-2023-MAN-0028,Sunil Kadam,,+91-7018420255,KA-15-LM-9346,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Bunder PS"
KA-2023-KAL-0029,Kiran Siddiqui,,+91-7088295328,KA-12-JK-1546,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Kalaburagi City PS"
KA-2023-MYS-0030,Manoj Sawant,,+91-7739972307,KA-48-AB-6111,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Lashkar PS"
KA-2023-BAN-0031,Salim Bhat,,+91-9310337026,KA-10-BC-9115,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Shivajinagar PS"
KA-2023-BEL-0032,Sunil Khan,,+91-9830132984,KA-45-CD-2604,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Market PS"
KA-2023-BAN-0033,Anil Sawant,,+91-7096619108,KA-38-BC-9920,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Cottonpet PS"
KA-2023-KAL-0034,Kishore Khan,,+91-9970117831,KA-30-DE-2094,"Extortion & Robbery | 384, 392 IPC | Kalaburagi City PS"
KA-2023-MYS-0035,Amit Naik,,+91-8754200858,KA-07-JK-1904,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Lashkar PS"
KA-2023-HUB-0036,Mohammad Khan,,+91-8714564889,KA-17-BC-6737,"Hawala & Money Laundering | 420, 120B IPC | Sub-Urban PS"
KA-2023-BAN-0037,Salim Jadhav,,+91-8716721459,KA-19-GH-8646,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Cottonpet PS"
KA-2023-MYS-0038,Manoj Kamath,,+91-8746002673,KA-34-LM-1204,"Extortion & Robbery | 384, 392 IPC | Lashkar PS"
KA-2023-BEL-0039,Imran Pathan,,+91-9728109762,KA-40-BC-8027,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Khade Bazar PS"
KA-2023-BAN-0040,Tariq Pathan,,+91-7049197093,KA-40-DE-3093,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Shivajinagar PS"
KA-2023-BEL-0041,Shakeel Shetty,,+91-7735528177,KA-25-DE-7700,"Extortion & Robbery | 384, 392 IPC | Market PS"
KA-2023-BAN-0042,Irfan Pathan,,+91-7720377002,KA-05-JK-2161,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Commercial Street PS"
KA-2023-BEL-0043,Dinesh Jadhav,,+91-9894791572,KA-34-LM-2087,"Hawala & Money Laundering | 420, 120B IPC | Market PS"
