call_id,caller_msisdn,receiver_msisdn,caller_name,duration_sec,cell_tower_id,timestamp,call_type
CDR-N-0001,+91-9095224592,+91-7081946048,Neha Khan,305,CELL-MUM-4002,2025-11-24T17:05:00,benign
CDR-N-0002,+91-8934965302,+91-7104113905,Priya Khan,496,CELL-MUM-4001,2025-09-07T22:41:00,benign
CDR-N-0003,+91-9298181426,+91-8374638893,Suresh Das,589,CELL-MUM-4001,2025-03-23T13:21:00,benign
CDR-N-0004,+91-7910530379,+91-7705554118,Sneha Patel,798,CELL-MUM-4002,2025-06-28T11:38:00,benign
CDR-N-0005,+91-7866715695,+91-9391170217,Lakshmi Patel,795,CELL-MUM-4002,2025-09-10T20:39:00,benign
CDR-N-0006,+91-9901457400,+91-8891835203,Priya Sharma,1374,CELL-BLR-2201,2025-05-03T07:55:00,benign
CDR-N-0007,+91-7330959823,+91-7910869429,Pooja Iyer,778,CELL-DEL-1101,2025-04-22T08:44:00,benign
CDR-N-0008,+91-9239894939,+91-7233989840,Kavya Mehta,1513,CELL-BLR-2201,2025-03-15T12:17:00,benign
CDR-N-0009,+91-9097183000,+91-7719699733,Karan Yadav,1593,CELL-MUM-4001,2025-04-27T01:51:00,benign
CDR-N-0010,+91-8033662581,+91-7877318675,Vikram Mishra,1181,CELL-DEL-1101,2025-04-21T15:25:00,benign
CDR-N-0011,+91-9898994259,+91-8503528726,Arjun Iyer,525,CELL-BLR-2202,2025-12-19T13:57:00,benign
CDR-N-0012,+91-8912162350,+91-8186138746,Amit Mehta,1030,CELL-MUM-4002,2025-01-28T03:09:00,benign
CDR-N-0013,+91-9056030969,+91-9595499192,Anita Das,150,CELL-HYD-3301,2025-07-20T14:33:00,benign
CDR-N-0014,+91-7823882512,+91-9820611504,Sneha Kulkarni,1119,CELL-BLR-2202,2025-11-11T03:18:00,benign
CDR-N-0015,+91-8424630730,+91-8486710425,Arjun Mehta,1580,CELL-PNQ-1101,2025-09-04T20:19:00,benign
CDR-N-0016,+91-9757993748,+91-8663589818,Vikram Iyer,785,CELL-PNQ-1101,2025-09-25T16:58:00,benign
CDR-N-0017,+91-7001888504,+91-8062174042,Aarav Patel,763,CELL-BLR-2202,2025-04-02T07:56:00,benign
CDR-N-0018,+91-8859120322,+91-7280673699,Priya Singh,1110,CELL-PNQ-1101,2025-03-22T15:35:00,benign
CDR-N-0019,+91-7541044741,+91-8729089507,Anita Khan,1124,CELL-BLR-2201,2025-12-10T12:42:00,benign
CDR-N-0020,+91-9129558944,+91-8435577839,Suresh Patel,527,CELL-BLR-2201,2025-02-11T00:37:00,benign
CDR-N-0021,+91-8815040161,+91-8928238864,Aarav Patel,1469,CELL-MUM-4001,2025-04-03T01:55:00,benign
CDR-N-0022,+91-8082719287,+91-8684741195,Arjun Kulkarni,1014,CELL-BLR-2201,2025-09-05T23:59:00,benign
CDR-N-0023,+91-9891384847,+91-8888171953,Neha Singh,988,CELL-HYD-3301,2025-04-04T03:42:00,benign
CDR-N-0024,+91-8412456438,+91-8387963883,Suresh Yadav,1513,CELL-MUM-4001,2025-11-21T20:06:00,benign
CDR-N-0025,+91-7198662772,+91-9386254473,Sneha Khan,412,CELL-BLR-2201,2025-09-15T04:27:00,benign
CDR-N-0026,+91-7601246509,+91-8515942742,Priya Joshi,1674,CELL-MUM-4002,2025-01-21T17:53:00,benign
CDR-N-0027,+91-7048322224,+91-9469240982,Kavya Reddy,1014,CELL-AHM-4401,2025-04-28T12:57:00,benign
CDR-N-0028,+91-7192131579,+91-8241810282,Rahul Gupta,1625,CELL-AHM-4401,2025-05-14T22:46:00,benign
CDR-N-0029,+91-9566982845,+91-9168873788,Amit Khan,627,CELL-BLR-2201,2025-01-19T23:34:00,benign
CDR-N-0030,+91-7199751104,+91-7187316572,Manoj Joshi,1049,CELL-PNQ-1101,2025-01-17T02:54:00,benign
CDR-N-0031,+91-7608918981,+91-8949818907,Neha Reddy,265,CELL-BLR-2201,2025-10-20T01:39:00,benign
CDR-N-0032,+91-7268664948,+91-9154086503,Manoj Mehta,667,CELL-BLR-2202,2025-04-22T22:20:00,benign
CDR-N-0033,+91-7782144814,+91-8296927154,Divya Joshi,667,CELL-MUM-4002,2025-01-15T19:36:00,benign
CDR-N-0034,+91-7327619602,+91-8761737938,Deepak Gupta,291,CELL-DEL-1101,2025-02-08T11:18:00,benign
CDR-N-0035,+91-7516967433,+91-9732081200,Divya Das,1672,CELL-MUM-4001,2025-11-27T17:19:00,benign
CDR-N-0036,+91-9173723577,+91-9877427601,Arjun Patel,239,CELL-PNQ-1101,2025-05-10T19:13:00,benign
CDR-N-0037,+91-9351454942,+91-7667193130,Arjun Mehta,1020,CELL-BLR-2202,2025-01-03T20:27:00,benign
CDR-N-0038,+91-9717646265,+91-7144410464,Karan Singh,287,CELL-BLR-2202,2025-03-24T14:35:00,benign
CDR-N-0039,+91-9312366057,+91-8837911267,Sneha Patel,1435,CELL-PNQ-1101,2025-09-02T11:37:00,benign
CDR-N-0040,+91-8810529410,+91-8408326704,Rohan Gupta,766,CELL-MUM-4001,2025-06-07T21:15:00,benign
CDR-N-0041,+91-9185423473,+91-8158983385,Anita Das,1554,CELL-PNQ-1101,2025-04-28T05:51:00,benign
CDR-N-0042,+91-9656733206,+91-9888264040,Aarav Iyer,1528,CELL-DEL-1101,2025-07-26T21:55:00,benign
CDR-N-0043,+91-9408642527,+91-7874230866,Sneha Reddy,99,CELL-AHM-4401,2025-04-07T14:22:00,benign
CDR-N-0044,+91-8000039831,+91-7730413101,Vikram Reddy,692,CELL-BLR-2202,2025-02-25T08:22:00,benign
CDR-N-0045,+91-9102076768,+91-8309699065,Lakshmi Nair,76,CELL-MUM-4002,2025-05-06T18:16:00,benign
CDR-N-0046,+91-7125324208,+91-8954866959,Pooja Pawar,1630,CELL-DEL-1101,2025-07-20T16:07:00,benign
CDR-N-0047,+91-8262285574,+91-7622843386,Rohan Pawar,913,CELL-MUM-4001,2025-09-26T17:43:00,benign
CDR-N-0048,+91-9357497900,+91-7645657739,Anita Patel,1380,CELL-DEL-1101,2025-10-11T21:54:00,benign
CDR-N-0049,+91-7408349363,+91-8661750538,Anita Nair,844,CELL-BLR-2202,2025-09-05T06:26:00,benign
CDR-N-0050,+91-9178859695,+91-9219432810,Ritu Das,636,CELL-HYD-3301,2025-09-27T00:19:00,benign
CDR-N-0051,+91-7940137549,+91-8408686019,Ritu Kulkarni,679,CELL-AHM-4401,2025-08-15T21:13:00,benign
CDR-N-0052,+91-8675072021,+91-9600932241,Priya Gupta,1075,CELL-DEL-1101,2025-02-27T07:43:00,benign
CDR-N-0053,+91-8017139444,+91-9642936100,Amit Sharma,114,CELL-BLR-2201,2025-08-20T02:29:00,benign
CDR-N-0054,+91-8358092544,+91-8886335485,Rahul Joshi,838,CELL-BLR-2201,2025-03-21T22:00:00,benign
CDR-N-0055,+91-9925023970,+91-9550765724,Neha Iyer,1666,CELL-AHM-4401,2025-01-18T07:58:00,benign
CDR-N-0056,+91-9779825906,+91-8495727477,Suresh Kulkarni,1107,CELL-DEL-1101,2025-08-20T23:57:00,benign
CDR-N-0057,+91-8654065933,+91-9721681810,Suresh Mishra,345,CELL-AHM-4401,2025-08-09T07:53:00,benign
CDR-N-0058,+91-9089446347,+91-9509478327,Meera Kulkarni,509,CELL-BLR-2202,2025-08-03T22:18:00,benign
CDR-N-0059,+91-7768345614,+91-8100551904,Lakshmi Patel,303,CELL-PNQ-1101,2025-04-13T22:09:00,benign
CDR-N-0060,+91-9314738043,+91-7210464377,Anita Nair,1131,CELL-AHM-4401,2025-07-02T06:53:00,benign
CDR-N-0061,+91-8376761049,+91-9964986556,Aarav Yadav,1587,CELL-HYD-3301,2025-08-01T11:19:00,benign
CDR-N-0062,+91-9468961116,+91-9796564921,Lakshmi Pawar,1524,CELL-BLR-2201,2025-08-08T08:27:00,benign
CDR-N-0063,+91-8591313804,+91-8274254057,Rahul Pawar,358,CELL-AHM-4401,2025-03-20T17:01:00,benign
