transaction_id,sender_name,sender_account,receiver_name,receiver_account,amount_inr,flag_reason,timestamp
TXN-FIU-10001,Mohd. Aslam,SBI-9928100234,Vikram Jadhav,HDFC-1092837482,1500000.0,High Value Cash Layering,2026-05-05 17:02:39
TXN-FIU-10002,Vikram Jadhav,HDFC-1092837482,Suresh Shetty,CAN-5582910293,1250000.0,Transit Escrow Split,2026-06-18 17:02:39
TXN-FIU-10003,Suresh Shetty,CAN-5582910293,Farhan Sheikh,AXIS-7719203918,1100000.0,Inter-State Hawala Remittance,2026-05-02 17:02:39
TXN-FIU-10004,Farhan Sheikh,AXIS-7719203918,Aslam Bhai,ICICI-8819201920,950000.0,Dispersal to Beneficiary Alias,2026-04-19 17:02:39
TXN-FIU-10005,Mohd. Aslam,SBI-9928100234,Mohd. Iqbal,PNB-4419201938,450000.0,Shell Company Equipment Rent,2026-04-25 17:02:39
TXN-FIU-10006,Farhan Rao,SBI-3468031896,Deepak Shinde,PNB-9365869572,2965694.76,Dormant Account Spike,2024-12-25 17:02:39
TXN-FIU-10007,Sachin Jadhav,ICICI-4578876947,Sachin Bhat,SBI-5974215344,2665572.0,Structured Deposits <50k,2025-06-03 17:02:39
TXN-FIU-10008,Mohammad Pathan,HDFC-8256999095,Kiran Shaikh,SBI-4039334792,2450305.74,High-Risk Geography Outflow,2025-05-16 17:02:39
TXN-FIU-10009,Deepak Jadhav,AXIS-4878918851,Ganesh Kamath,SBI-7801787051,958832.7,Round Trip Transactions,2025-06-13 17:02:39
TXN-FIU-10010,Amit Patil,SBI-4842184662,Anil Rao,SBI-5974215344,2146232.37,Dormant Account Spike,2024-12-13 17:02:39
TXN-FIU-10011,Vijay Ansari,SBI-7801787051,Tariq Jadhav,PNB-7501469094,416357.5,Structured Deposits <50k,2025-01-12 17:02:39
TXN-FIU-10012,Ajay Naik,AXIS-2966343247,Sanjay Ansari,AXIS-6937449151,3153442.58,Rapid Succession Transfers,2026-04-22 17:02:39
TXN-FIU-10013,Vijay Gowda,SBI-3468031896,Mohammad Shaikh,HDFC-1665602135,638782.51,Rapid Succession Transfers,2025-04-07 17:02:39
TXN-FIU-10014,Sachin Jadhav,AXIS-2966343247,Nasir Pathan,HDFC-1665602135,1135119.67,High-Risk Geography Outflow,2026-05-01 17:02:39
TXN-FIU-10015,Manoj Qureshi,SBI-2530322647,Nasir Chavan,PNB-9365869572,3425998.63,High-Risk Geography Outflow,2026-08-15 17:02:39
TXN-FIU-10016,Santosh Shetty,HDFC-9986910988,Mohammad Sayed,ICICI-7836464312,2006422.5,Dormant Account Spike,2025-09-22 17:02:39
TXN-FIU-10017,Anil Siddiqui,SBI-4842184662,Sanjay Jadhav,SBI-5974215344,3126739.65,Dormant Account Spike,2025-03-21 17:02:39
TXN-FIU-10018,Tariq Sawant,AXIS-2849280305,Santosh Reddy,SBI-3827283732,2129914.83,High-Risk Geography Outflow,2024-12-29 17:02:39
TXN-FIU-10019,Rahul Kamath,SBI-8924595680,Sunil Siddiqui,AXIS-6937449151,126000.15,Round Trip Transactions,2026-08-20 17:02:39
TXN-FIU-10020,Kiran Hegde,HDFC-3598603170,Dinesh Shinde,HDFC-7132104683,62991.87,High-Risk Geography Outflow,2025-12-10 17:02:39
TXN-FIU-10021,Mohammad Siddiqui,ICICI-6529253100,Salim Khan,HDFC-1665602135,458682.14,Dormant Account Spike,2025-05-01 17:02:39
TXN-FIU-10022,Manoj Sawant,ICICI-5114292912,Imran Siddiqui,SBI-5974215344,2297413.41,Round Trip Transactions,2024-10-01 17:02:39
TXN-FIU-10023,Santosh Chavan,SBI-5974215344,Deepak Patil,SBI-3827143375,1232720.4,Dormant Account Spike,2025-01-21 17:02:39
TXN-FIU-10024,Anil Kamath,SBI-8563566710,Suresh Chavan,AXIS-5343309815,612505.78,Round Trip Transactions,2025-12-16 17:02:39
TXN-FIU-10025,Rajesh Sawant,SBI-6645556937,Sunil Deshmukh,SBI-3468031896,1627061.33,Normal Trade Settlement,2024-10-21 17:02:39
TXN-FIU-10026,Manoj Pathan,ICICI-9110076374,Anil Jadhav,SBI-5974215344,1796512.38,Structured Deposits <50k,2024-10-13 17:02:39
TXN-FIU-10027,Vijay Qureshi,HDFC-1665602135,Tariq Siddiqui,AXIS-2117018376,967479.7,Normal Trade Settlement,2025-03-11 17:02:39
TXN-FIU-10028,Prakash Khan,ICICI-5114292912,Irfan Jadhav,AXIS-5138077601,1114663.4,Rapid Succession Transfers,2025-10-15 17:02:39
TXN-FIU-10029,Arjun Naik,SBI-3468031896,Ajay Patil,ICICI-5114292912,773387.98,Dormant Account Spike,2025-04-21 17:02:39
TXN-FIU-10030,Irfan Kamath,ICICI-8571385151,Irfan Chavan,SBI-5974215344,3231476.01,Structured Deposits <50k,2025-05-28 17:02:39
TXN-FIU-10031,Manoj Chavan,PNB-2729223616,Mohammad Hegde,PNB-7105992088,2718162.98,Dormant Account Spike,2026-06-07 17:02:39
TXN-FIU-10032,Imran Reddy,PNB-2729223616,Shakeel Reddy,ICICI-6529253100,641521.85,Normal Trade Settlement,2025-06-20 17:02:39
TXN-FIU-10033,Dinesh Rao,PNB-2729223616,Arjun Naik,PNB-9187843642,2477951.09,Round Trip Transactions,2025-02-09 17:02:39
TXN-FIU-10034,Santosh Kadam,PNB-1831413674,Nasir Chavan,SBI-4842184662,2422183.98,Rapid Succession Transfers,2024-11-25 17:02:39
TXN-FIU-10035,Suresh Rao,SBI-7607066805,Suresh Gowda,AXIS-2966343247,2310634.99,High-Risk Geography Outflow,2025-10-21 17:02:39
TXN-FIU-10036,Manoj Bhat,AXIS-4878918851,Ajay Rao,PNB-2729223616,1942856.48,High-Risk Geography Outflow,2025-12-01 17:02:39
TXN-FIU-10037,Farhan Pathan,PNB-1720603443,Shakeel Shinde,PNB-7501469094,3476598.46,Structured Deposits <50k,2025-01-19 17:02:39
TXN-FIU-10038,Prakash Hegde,PNB-2729223616,Nasir Siddiqui,PNB-7501469094,3222515.7,Normal Trade Settlement,2026-02-01 17:02:39
TXN-FIU-10039,Sanjay Naik,PNB-4878646625,Salim Kadam,PNB-2729223616,2511994.84,Normal Trade Settlement,2024-10-22 17:02:39
TXN-FIU-10040,Pradeep Hegde,SBI-3827283732,Rahul Naik,AXIS-2117018376,2029310.47,Structured Deposits <50k,2024-11-18 17:02:39
