fir_number,police_station,accused_name,offense_type,section_ipc,date_of_fir,seized_phone,vehicle_reg_no,location_district
MH-2023-MRA-0142,MRA Marg PS,Mohd. Aslam,Extortion & Organised Syndicate,"384, 387, 120B IPC",2023-04-14 11:20:00,+91-9876543210,MH-12-DE-1001,Mumbai
MH-2023-BND-0389,Bandra PS,Mohammed Aslam Shaikh,Arms Act & Syndicate Financing,"307 IPC, 3/25 Arms Act",2023-08-22 19:45:00,+91-9876543210,MH-12-DE-1001,Mumbai
MH-2023-PUN-0711,Shivajinagar PS,Vikram Jadhav,Armed Extortion & Assault,"384, 324 IPC",2023-09-10 14:10:00,+91-9822019283,MH-12-AB-4491,Pune
MH-2023-MUM-0902,Mumbra PS,Mohd. Iqbal,Forged Identity & Logistics,"468, 471 IPC",2023-11-05 16:30:00,+91-9811223344,MH-04-KL-8821,Thane
MH-2024-KLY-0023,Kalyan Town PS,अस्लम भाई,Cross-Border Hawala Distribution,"420, 120B IPC",2024-01-18 10:15:00,+91-9876543210,MH-12-DE-1001,Thane
MH-2023-THA-0006,Kalyan Town PS,Deepak Chavan,Narcotics Trafficking,"8, 20, 29 NDPS Act",2024-12-02 17:02:39,+91-9358643230,MH-17-AB-8425,Thane
MH-2023-PUN-0007,Faraskhana PS,Deepak Pathan,Extortion & Robbery,"384, 392 IPC",2025-08-02 17:02:39,+91-9814727279,MH-14-GH-5128,Pune
MH-2023-PUN-0008,Khadki PS,Nasir Memon,Arms Act & Gang Violence,"307 IPC, 25 Arms Act",2025-04-06 17:02:39,+91-9725253732,MH-23-AB-2077,Pune
MH-2023-MUM-0009,Dharavi PS,Kiran Hegde,Narcotics Trafficking,"8, 20, 29 NDPS Act",2026-07-11 17:02:39,+91-9914065082,MH-40-CD-5166,Mumbai
MH-2023-KOL-0010,Shahupuri PS,Irfan Khan,Hawala & Money Laundering,"420, 120B IPC",2025-04-20 17:02:39,+91-7734540016,MH-04-AB-2896,Kolhapur
