cdr_record_id,calling_msisdn,called_msisdn,duration_seconds,cell_tower_id,tower_location,timestamp,call_type
CDR-2024-000001,+91-9816543822,+91-9891161135,1031,TOWER-DEL-11,Delhi Connaught Place,2026-04-21 20:18:00,SMS
CDR-2024-000002,+91-8823825258,+91-9756076027,1781,TOWER-PUN-04,Pune Shivajinagar,2026-07-11 09:30:00,DATA_SESSION
CDR-2024-000003,+91-8814272197,+91-7079113799,1235,TOWER-MUM-01,Mumbai Gateway,2026-08-01 09:32:00,VOICE
CDR-2024-000004,+91-9486614247,+91-9425221616,210,TOWER-DEL-11,Delhi Connaught Place,2026-08-02 16:18:00,SMS
CDR-2024-000005,+91-9470415275,+91-9980665462,1163,TOWER-NAG-03,Nagpur Central,2026-06-13 00:43:00,VOICE
CDR-2024-000006,+91-9976859015,+91-9994127303,1028,TOWER-NAG-03,Nagpur Central,2026-06-25 00:26:00,VOICE
CDR-2024-000007,+91-7059231428,+91-9780874274,118,TOWER-DEL-11,Delhi Connaught Place,2026-07-20 16:06:00,SMS
CDR-2024-000008,+91-7067329730,+91-9873007533,1458,TOWER-PUN-04,Pune Shivajinagar,2026-06-10 20:33:00,VOICE
CDR-2024-000009,+91-9742159851,+91-9490998248,1580,TOWER-BEL-02,Belgaum Market,2026-05-04 07:02:00,VOICE
CDR-2024-000010,+91-9937378676,+91-7065849605,957,TOWER-DEL-11,Delhi Connaught Place,2026-07-12 11:30:00,DATA_SESSION
CDR-2024-000011,+91-8870481814,+91-9761397656,1044,TOWER-BLR-09,Bangalore MG Road,2026-08-29 03:26:00,SMS
CDR-2024-000012,+91-9452428866,+91-8889684391,1007,TOWER-MUM-01,Mumbai Gateway,2026-07-26 17:00:00,VOICE
CDR-2024-000013,+91-9790857293,+91-9788801354,635,TOWER-BLR-09,Bangalore MG Road,2026-05-07 06:43:00,VOICE
CDR-2024-000014,+91-9832398190,+91-9975863023,1067,TOWER-MUM-01,Mumbai Gateway,2026-04-19 19:13:00,DATA_SESSION
CDR-2024-000015,+91-9450262653,+91-8828475255,44,TOWER-PUN-04,Pune Shivajinagar,2026-04-04 16:32:00,VOICE
CDR-2024-000016,+91-9482802713,+91-9465813416,1357,TOWER-MUM-01,Mumbai Gateway,2026-05-23 19:21:00,DATA_SESSION
CDR-2024-000017,+91-9964317991,+91-9877280140,1693,TOWER-BEL-02,Belgaum Market,2026-08-12 17:47:00,VOICE
CDR-2024-000018,+91-8877159778,+91-9926074375,1775,TOWER-DEL-11,Delhi Connaught Place,2026-08-07 10:59:00,VOICE
CDR-2024-000019,+91-8874092532,+91-9897314818,499,TOWER-BEL-02,Belgaum Market,2026-03-27 02:38:00,SMS
CDR-2024-000020,+91-7094732418,+91-9474557660,1067,TOWER-NAG-03,Nagpur Central,2026-06-28 21:29:00,VOICE
CDR-2024-000021,+91-9812298456,+91-9423454419,91,TOWER-BLR-09,Bangalore MG Road,2026-07-13 10:13:00,VOICE
CDR-2024-000022,+91-7070599778,+91-9496210422,929,TOWER-BLR-09,Bangalore MG Road,2026-05-21 07:16:00,VOICE
CDR-2024-000023,+91-9450460356,+91-9444095121,1107,TOWER-MUM-01,Mumbai Gateway,2026-07-17 18:06:00,SMS
CDR-2024-000024,+91-7075690061,+91-7073085036,778,TOWER-NAG-03,Nagpur Central,2026-05-24 21:45:00,SMS
CDR-2024-000025,+91-9886189279,+91-8865667115,1710,TOWER-MUM-01,Mumbai Gateway,2026-06-06 01:48:00,VOICE
CDR-2024-000026,+91-7093201045,+91-8867315537,294,TOWER-BEL-02,Belgaum Market,2026-08-20 03:16:00,DATA_SESSION
CDR-2024-000027,+91-9452983517,+91-7055235080,1332,TOWER-BLR-09,Bangalore MG Road,2026-08-07 15:35:00,SMS
CDR-2024-000028,+91-9772584835,+91-9756793458,1663,TOWER-NAG-03,Nagpur Central,2026-05-20 14:32:00,VOICE
CDR-2024-000029,+91-9829799625,+91-9870557758,922,TOWER-BLR-09,Bangalore MG Road,2026-07-07 17:47:00,SMS
CDR-2024-000030,+91-9878476191,+91-7032289520,1066,TOWER-BEL-02,Belgaum Market,2026-05-27 13:35:00,DATA_SESSION
CDR-2024-000031,+91-9765796593,+91-7080890939,952,TOWER-BLR-09,Bangalore MG Road,2026-06-20 20:41:00,VOICE
CDR-2024-000032,+91-7054407647,+91-8889038112,1560,TOWER-BEL-02,Belgaum Market,2026-05-13 02:51:00,SMS
CDR-2024-000033,+91-7016465191,+91-7019327405,1026,TOWER-BEL-02,Belgaum Market,2026-04-14 01:03:00,VOICE
CDR-2024-000034,+91-9775480123,+91-7099736624,1430,TOWER-NAG-03,Nagpur Central,2026-04-16 00:31:00,DATA_SESSION
CDR-2024-000035,+91-9435207764,+91-7025752845,1173,TOWER-BLR-09,Bangalore MG Road,2026-04-28 08:58:00,VOICE
CDR-2024-000036,+91-9933896766,+91-9487107234,891,TOWER-BEL-02,Belgaum Market,2026-07-04 01:49:00,VOICE
CDR-2024-000037,+91-9975152759,+91-9911534241,269,TOWER-PUN-04,Pune Shivajinagar,2026-06-29 00:25:00,VOICE
CDR-2024-000038,+91-9941015281,+91-9498466320,1188,TOWER-BLR-09,Bangalore MG Road,2026-06-11 09:34:00,SMS
CDR-2024-000039,+91-9422014397,+91-9756716392,1196,TOWER-DEL-11,Delhi Connaught Place,2026-04-24 14:48:00,DATA_SESSION
CDR-2024-000040,+91-9998655843,+91-9882217022,1319,TOWER-NAG-03,Nagpur Central,2026-05-31 22:34:00,VOICE
CDR-2024-000041,+91-7054978406,+91-9795958624,219,TOWER-PUN-04,Pune Shivajinagar,2026-08-01 07:05:00,VOICE
CDR-2024-000042,+91-7089972309,+91-9820123344,205,TOWER-NAG-03,Nagpur Central,2026-03-23 16:43:00,VOICE
CDR-2024-000043,+91-7073289911,+91-7018732818,1137,TOWER-NAG-03,Nagpur Central,2026-04-16 15:48:00,VOICE
CDR-2024-000044,+91-9862550002,+91-9912986000,690,TOWER-PUN-04,Pune Shivajinagar,2026-08-20 07:29:00,VOICE
CDR-2024-000045,+91-9992615628,+91-7031364456,131,TOWER-NAG-03,Nagpur Central,2026-06-17 12:35:00,SMS
CDR-2024-000046,+91-8892667377,+91-9469516852,98,TOWER-NAG-03,Nagpur Central,2026-08-27 04:02:00,VOICE
CDR-2024-000047,+91-7038231031,+91-7087156743,66,TOWER-DEL-11,Delhi Connaught Place,2026-08-27 01:21:00,VOICE
CDR-2024-000048,+91-9946157072,+91-9439821974,1515,TOWER-PUN-04,Pune Shivajinagar,2026-06-16 13:23:00,VOICE
CDR-2024-000049,+91-8851487119,+91-9942291007,1483,TOWER-BEL-02,Belgaum Market,2026-07-09 13:19:00,VOICE
CDR-2024-000050,+91-8865746399,+91-9875074647,788,TOWER-BLR-09,Bangalore MG Road,2026-06-24 15:54:00,DATA_SESSION
CDR-2024-000051,+91-9734738144,+91-9994345402,769,TOWER-MUM-01,Mumbai Gateway,2026-09-06 00:42:00,DATA_SESSION
CDR-2024-000052,+91-7073750032,+91-8884687956,282,TOWER-BLR-09,Bangalore MG Road,2026-08-31 05:02:00,VOICE
CDR-2024-000053,+91-9947092456,+91-9863754487,87,TOWER-DEL-11,Delhi Connaught Place,2026-06-21 18:04:00,VOICE
CDR-2024-000054,+91-8852333032,+91-9925923974,1675,TOWER-MUM-01,Mumbai Gateway,2026-08-10 10:01:00,DATA_SESSION
CDR-2024-000055,+91-9829574184,+91-9944647920,1659,TOWER-NAG-03,Nagpur Central,2026-09-10 05:58:00,DATA_SESSION
CDR-2024-000056,+91-9999765046,+91-9955815917,737,TOWER-BLR-09,Bangalore MG Road,2026-06-07 20:13:00,SMS
CDR-2024-000057,+91-9886341791,+91-9791125376,1778,TOWER-MUM-01,Mumbai Gateway,2026-07-27 09:03:00,DATA_SESSION
CDR-2024-000058,+91-7061633646,+91-9483168308,644,TOWER-BLR-09,Bangalore MG Road,2026-05-27 08:41:00,VOICE
CDR-2024-000059,+91-9446852328,+91-9725766193,783,TOWER-MUM-01,Mumbai Gateway,2026-05-07 00:29:00,VOICE
